Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,PAL,PAL_kategori
43,Male,94.0,1.79,187,156,62,1.31,1012.0,HIIT,23.2,3.4,2,1,29.34,1.593,Low Active
53,Female,44.7,1.79,164,160,72,1.34,965.0,Yoga,26.7,2.1,3,2,13.95,1.447,Low Active
18,Male,63.2,1.63,162,120,73,0.66,436.0,Cardio,27.5,2.2,3,1,23.79,1.263,Sedentary
25,Male,95.6,1.9,190,160,72,1.47,1294.0,Cardio,23.8,2.4,4,2,26.48,1.275,Sedentary
52,Male,47.8,1.86,179,129,67,1.01,645.0,Yoga,24.7,2.8,10,2,13.82,1.178,Sedentary
32,Male,85.3,1.64,178,123,69,1.77,1197.0,Cardio,13.2,3.5,4,3,31.71,1.811,Active
39,Male,59.7,1.83,170,154,59,1.35,1143.0,Strength,29.1,2.3,4,2,17.83,2.44,Very Active
31,Male,70.2,1.98,199,129,61,0.71,504.0,Yoga,24.2,2.5,2,1,17.91,1.719,Active
43,Female,72.7,1.8,162,166,50,0.79,590.0,Cardio,32.8,2.1,0,1,22.44,1.599,Low Active
45,Female,50.4,1.79,182,130,59,0.74,433.0,Cardio,27.7,2.5,2,1,15.73,2.145,Very Active
40,Male,81.7,1.74,166,133,58,0.91,666.0,Yoga,27.0,2.7,2,1,26.99,1.733,Active
31,Male,49.3,1.62,182,157,52,0.56,484.0,Strength,20.0,3.2,2,1,18.79,2.055,Very Active
41,Female,61.9,1.64,166,131,68,1.93,1138.0,Yoga,19.4,2.7,4,3,23.01,1.499,Low Active
19,Female,49.1,1.68,193,164,58,1.42,1164.0,Cardio,25.3,2.6,4,2,17.4,1.988,Very Active
43,Male,66.5,1.83,178,136,59,1.11,747.0,Yoga,27.1,2.4,3,2,19.86,1.545,Low Active
31,Male,75.5,1.93,168,135,68,0.6,446.0,Cardio,20.5,3.4,2,1,20.27,1.398,Sedentary
24,Male,88.2,1.79,177,154,65,1.76,1491.0,HIIT,11.3,3.5,4,3,27.53,1.964,Very Active
20,Male,74.8,1.75,184,121,73,1.33,885.0,Yoga,25.0,3.3,3,2,24.42,1.977,Very Active
40,Female,72.2,1.6,173,130,67,0.87,566.0,Yoga,29.2,1.9,10,1,28.2,1.806,Active
35,Male,62.8,1.63,184,160,63,1.41,1241.0,Cardio,21.9,3.7,4,2,23.64,1.592,Low Active
55,Male,84.7,1.79,178,122,52,1.19,719.0,Cardio,23.3,2.4,3,2,26.43,1.881,Active
5,Male,116.5,1.69,198,148,51,0.53,388.0,Cardio,27.3,2.4,2,1,40.79,2.455,Very Active
32,Male,77.4,1.92,174,137,50,1.39,1047.0,Cardio,26.7,3.3,3,2,21.0,1.116,Sedentary
42,Female,72.9,1.62,175,139,67,1.17,732.0,Yoga,25.7,2.0,4,2,27.78,1.281,Sedentary
54,Female,58.4,1.59,186,166,73,1.08,807.0,Cardio,32.5,1.9,2,1,23.1,1.27,Sedentary
45,Female,64.3,1.54,199,133,58,1.67,999.0,Yoga,15.3,2.7,4,3,27.11,1.666,Active
27,Male,89.3,1.87,169,153,62,1.62,1363.0,Strength,12.7,3.5,5,3,25.54,1.452,Low Active
56,Male,90.2,1.61,163,168,51,1.38,1148.0,Yoga,22.6,2.3,3,2,34.8,1.71,Active
34,Female,59.0,1.62,178,150,56,1.13,847.0,Cardio,30.9,2.4,4,2,22.48,1.543,Low Active
56,Male,58.7,1.86,187,159,65,1.09,858.0,Cardio,22.6,3.3,3,2,16.97,1.542,Low Active
39,Male,127.5,1.82,180,161,70,1.26,1116.0,Strength,29.8,3.0,3,2,38.49,1.722,Active
43,Female,68.6,1.52,173,137,68,1.42,875.0,Yoga,28.1,2.6,4,2,29.69,1.801,Active
42,Female,56.7,1.53,192,149,74,1.07,717.0,Strength,27.4,1.9,3,1,24.22,1.436,Low Active
34,Female,64.5,1.78,169,144,64,1.33,958.0,Yoga,27.8,1.8,4,2,20.36,1.791,Active
30,Female,61.6,1.52,178,138,71,1.78,1228.0,Cardio,19.5,2.7,4,3,26.66,1.26,Sedentary
37,Male,75.1,1.82,189,127,60,1.23,859.0,Yoga,26.4,3.2,4,2,22.67,1.589,Low Active
42,Male,79.3,1.93,181,147,50,1.22,888.0,Cardio,27.3,3.3,2,1,21.29,1.927,Very Active
21,Female,72.6,1.68,162,127,70,1.19,756.0,Cardio,34.2,1.8,3,2,25.72,1.017,Sedentary
27,Male,76.7,1.7,196,150,56,0.96,792.0,HIIT,29.1,2.1,3,1,26.54,1.576,Low Active
20,Female,44.2,1.61,177,122,69,1.08,659.0,HIIT,32.4,2.5,2,1,17.05,1.867,Active
58,Female,20.0,1.7,170,122,57,0.74,406.0,Yoga,27.0,2.7,2,1,19.55,1.755,Active
35,Male,100.9,1.63,161,163,59,1.1,986.0,Cardio,28.4,3.1,2,1,37.98,1.612,Active
53,Female,55.8,1.55,171,141,54,1.12,711.0,Strength,27.0,1.8,4,2,23.23,1.77,Active
39,Male,58.3,1.93,165,136,58,1.35,1010.0,Cardio,27.4,3.7,4,2,15.65,1.081,Sedentary
51,Male,48.6,1.77,199,155,74,1.47,1128.0,Strength,26.9,3.5,2,1,15.51,1.262,Sedentary
25,Male,81.7,1.95,188,136,74,1.94,1451.0,Yoga,13.8,3.5,4,3,21.49,1.88,Active
57,Male,85.6,1.69,189,133,50,1.76,1159.0,Yoga,12.7,3.5,5,3,29.97,2.031,Very Active
100,Female,60.0,1.72,161,128,51,1.63,1043.0,Strength,18.2,2.7,5,3,20.28,1.429,Low Active
59,Male,126.4,1.69,168,149,68,1.24,915.0,Strength,29.5,2.9,3,1,44.26,1.652,Active
58,Female,75.4,1.78,161,140,63,1.05,662.0,Cardio,26.0,2.5,4,2,23.8,1.37,Sedentary
54,Female,64.2,1.69,188,131,69,1.69,996.0,Yoga,16.5,2.7,4,3,22.48,1.812,Active
23,Female,65.2,1.62,192,156,59,1.37,1069.0,Cardio,31.1,2.5,6,2,24.84,1.512,Low Active
43,Female,70.1,1.66,169,151,58,0.99,673.0,Strength,34.6,2.6,2,1,25.44,1.736,Active
51,Male,102.6,1.77,193,130,59,1.21,779.0,HIIT,21.0,3.4,2,1,32.75,1.991,Very Active
23,Male,107.2,1.93,167,139,55,1.15,879.0,HIIT,20.2,3.1,4,2,28.78,1.164,Sedentary
54,Female,56.5,1.75,196,154,66,1.76,1220.0,HIIT,15.3,2.7,5,3,18.45,1.446,Low Active
50,Female,61.6,1.75,192,166,74,1.22,911.0,Strength,25.5,2.2,4,2,20.11,1.078,Sedentary
39,Male,81.7,2.5,165,165,55,1.32,1198.0,Cardio,29.1,2.8,4,2,26.68,1.777,Active
38,Female,76.6,1.58,199,130,53,0.74,481.0,Yoga,32.2,2.3,2,1,60.0,1.529,Low Active
23,Male,116.8,1.79,178,127,69,1.0,698.0,Strength,26.8,3.4,4,2,36.45,1.232,Sedentary
23,Female,60.1,1.59,191,123,52,1.8,1107.0,HIIT,17.6,2.7,4,3,23.77,2.136,Very Active
21,Male,93.7,1.73,186,146,72,1.0,803.0,Cardio,27.8,3.6,2,1,31.31,1.883,Active
47,Female,41.6,1.58,160,163,68,1.03,756.0,Yoga,26.6,2.1,4,2,16.66,1.446,Low Active
28,Female,55.1,1.79,192,159,67,1.99,1582.0,Yoga,17.0,2.7,5,3,5.0,1.558,Low Active
47,Male,127.1,1.76,199,157,73,0.71,552.0,Strength,24.9,3.0,2,1,41.03,2.223,Very Active
48,Female,69.1,1.6,191,166,53,1.34,1001.0,Strength,26.1,2.0,4,2,26.99,1.598,Low Active
41,Female,66.8,1.74,164,149,57,1.34,898.0,Yoga,29.2,2.3,3,1,22.06,1.971,Very Active
26,Male,125.5,1.76,176,163,66,1.15,1031.0,Yoga,23.2,3.1,4,2,40.52,2.075,Very Active
20,Female,71.3,1.58,167,167,54,1.07,893.0,HIIT,25.4,1.5,3,2,28.56,1.15,Sedentary
48,Male,129.2,1.61,193,167,62,1.06,876.0,Yoga,21.4,2.9,4,2,49.84,1.839,Active
57,Male,96.3,1.86,168,146,74,1.1,795.0,Strength,27.6,2.2,3,2,27.84,1.402,Low Active
54,Female,67.5,1.54,182,140,50,0.72,454.0,Cardio,25.2,1.5,3,1,28.46,1.175,Sedentary
53,Female,64.4,1.55,194,139,62,1.77,1107.0,HIIT,19.7,2.7,4,3,26.81,1.863,Active
41,Female,64.9,1.57,166,123,53,1.04,576.0,HIIT,25.9,2.4,4,2,26.33,1.831,Active
48,Female,52.3,1.66,174,130,71,0.74,433.0,Yoga,33.0,1.8,3,1,18.98,1.555,Low Active
23,Female,56.7,1.55,179,132,73,1.38,911.0,Cardio,34.0,1.9,4,2,23.6,1.105,Sedentary
19,Female,46.8,1.63,184,128,63,1.35,864.0,HIIT,34.4,1.6,4,2,17.61,2.356,Very Active
37,Female,70.3,1.77,162,123,52,1.01,621.0,Strength,33.7,1.7,2,1,22.44,1.429,Low Active
45,Male,80.8,1.76,183,131,54,1.7,1102.0,Yoga,11.4,3.5,4,3,26.08,1.421,Low Active
28,Female,56.0,1.5,193,128,56,1.94,1242.0,Strength,16.7,2.7,5,3,24.89,1.743,Active
21,Male,101.2,1.84,181,132,50,1.3,944.0,Yoga,24.3,3.3,2,1,29.89,1.638,Active
32,Female,56.6,1.57,170,167,72,1.65,1378.0,HIIT,15.7,2.7,4,3,22.96,1.226,Sedentary
23,Female,40.9,1.75,167,145,61,0.82,594.0,Yoga,25.2,2.1,3,1,13.36,1.853,Active
47,Male,127.8,1.65,198,157,60,0.77,598.0,Cardio,28.7,3.5,2,1,46.94,1.476,Low Active
55,Female,49.3,1.76,194,161,73,1.28,927.0,Strength,30.5,2.0,2,1,15.92,1.32,Sedentary
19,Female,64.3,1.63,197,132,57,1.87,1234.0,Cardio,18.0,2.7,5,3,24.2,1.501,Low Active
32,Male,49.3,1.62,167,158,74,1.18,1025.0,Strength,29.3,2.5,3,2,18.79,1.72,Active
28,Female,63.0,1.62,196,147,55,0.68,500.0,Strength,31.7,1.9,2,1,24.01,1.902,Very Active
25,Female,41.1,1.67,186,138,71,1.03,711.0,Yoga,31.9,2.4,3,2,14.74,1.796,Active
43,Female,40.5,1.74,187,143,51,1.5,965.0,HIIT,32.9,2.2,3,2,13.38,1.783,Active
22,Male,71.0,1.62,199,138,68,0.91,691.0,HIIT,21.2,3.5,2,1,27.05,1.026,Sedentary
23,Female,60.9,1.62,193,168,69,1.59,1336.0,Cardio,16.8,2.7,5,3,23.21,2.459,Very Active
43,Female,64.7,1.66,191,132,69,1.88,1117.0,Yoga,19.8,2.7,4,3,23.48,1.327,Sedentary
21,Female,51.0,1.71,174,132,73,1.07,706.0,HIIT,34.2,2.2,3,2,17.44,1.861,Active
36,Female,57.7,1.77,176,147,63,1.65,1213.0,Strength,19.4,2.7,4,3,18.42,1.248,Sedentary
37,Male,76.9,1.82,192,121,50,1.49,992.0,Strength,24.5,2.8,4,2,23.22,1.572,Low Active
50,Male,80.5,1.77,175,129,59,1.85,1181.0,Yoga,14.3,3.5,4,3,25.7,1.232,Sedentary
37,Female,73.3,1.74,188,141,65,1.03,726.0,Cardio,25.5,2.4,3,2,24.21,1.531,Low Active
29,Female,49.0,1.57,168,132,53,1.33,878.0,Yoga,26.5,2.6,3,2,19.88,1.482,Low Active
18,Male,114.5,1.97,192,128,60,1.03,725.0,Cardio,24.1,2.6,3,1,29.5,2.192,Very Active
43,Male,81.0,1.78,188,152,65,1.58,1189.0,Yoga,12.4,3.5,5,3,25.56,1.908,Very Active
31,Female,53.5,1.76,172,133,69,1.22,811.0,Strength,27.6,1.8,4,2,17.27,2.182,Very Active
55,Male,52.1,1.68,180,167,50,0.77,637.0,Yoga,23.6,3.0,3,1,18.46,1.831,Active
54,Female,70.1,1.52,180,139,65,0.76,475.0,HIIT,26.6,2.1,2,1,30.34,1.557,Low Active
28,Male,86.9,1.78,164,134,68,1.29,951.0,HIIT,24.9,3.7,4,2,27.43,1.802,Active
53,Male,73.4,1.76,169,151,70,1.09,815.0,Yoga,27.9,2.8,3,2,23.7,1.531,Low Active
30,Male,90.0,1.66,165,152,71,1.32,1104.0,Cardio,26.6,2.1,4,2,32.66,1.811,Active
20,Male,85.7,1.92,172,136,58,1.72,1287.0,Cardio,10.5,3.5,5,3,23.25,1.087,Sedentary
50,Female,70.4,1.55,160,143,58,0.73,470.0,Strength,29.9,2.7,2,1,29.3,2.198,Very Active
23,Male,57.7,1.71,179,149,58,1.15,942.0,Strength,27.0,3.4,3,2,19.73,2.244,Very Active
27,Male,75.7,1.76,167,132,66,0.68,494.0,Cardio,25.3,2.3,3,1,24.44,1.108,Sedentary
22,Female,61.8,1.52,169,166,61,1.83,1519.0,Yoga,17.0,2.7,5,3,26.75,1.031,Sedentary
40,Male,80.3,1.76,168,167,74,1.63,1497.0,Strength,13.1,3.5,5,3,25.92,1.043,Sedentary
27,Male,104.3,1.68,162,135,62,1.28,950.0,Cardio,29.7,3.5,3,2,36.95,1.296,Sedentary
19,Female,65.7,1.58,170,121,57,1.46,883.0,Cardio,25.9,1.9,3,2,26.32,1.516,Low Active
30,Male,120.3,1.96,171,136,65,0.66,494.0,Yoga,23.9,2.6,2,1,31.32,1.147,Sedentary
57,Female,51.9,1.57,169,151,67,1.05,713.0,HIIT,29.1,2.6,3,2,21.06,1.115,Sedentary
19,Female,200.0,1.57,184,162,50,1.65,1336.0,Cardio,17.9,2.7,5,3,23.98,1.062,Sedentary
37,Female,66.9,1.75,184,127,50,1.38,876.0,Strength,26.5,2.1,4,2,21.84,1.406,Low Active
18,Female,66.9,1.75,170,122,61,0.94,573.0,Yoga,26.8,1.7,2,1,21.84,1.831,Active
54,Male,78.7,1.66,195,131,55,1.42,921.0,Yoga,22.9,2.6,3,2,28.56,1.586,Low Active
26,Female,62.4,1.61,198,139,58,1.88,1307.0,Yoga,19.8,2.7,4,3,24.07,1.017,Sedentary
70,Male,102.1,1.71,185,135,72,0.96,713.0,HIIT,27.3,3.2,2,1,34.92,1.176,Sedentary
26,Male,51.9,2.0,173,133,54,0.75,549.0,HIIT,26.6,2.3,2,1,12.97,1.811,Active
28,Male,58.3,2.0,198,135,65,1.32,980.0,Strength,28.2,3.0,4,2,14.57,1.568,Low Active
32,Male,89.8,1.92,199,168,67,1.93,1783.0,Strength,10.6,3.5,4,3,24.36,1.355,Sedentary
41,Male,101.1,1.83,160,162,66,0.79,634.0,Yoga,28.6,3.2,2,1,30.19,2.108,Very Active
55,Male,118.6,1.72,163,168,67,0.77,640.0,Strength,25.9,2.6,3,1,40.09,1.654,Active
52,Male,84.8,1.85,189,152,50,1.19,895.0,Cardio,23.4,3.2,2,1,24.78,1.493,Low Active
47,Male,80.0,1.77,171,149,68,0.72,531.0,HIIT,28.2,3.5,3,1,25.54,1.137,Sedentary
48,Male,73.1,1.83,194,131,71,1.05,681.0,Yoga,28.0,2.8,4,2,21.83,1.637,Active
22,Male,117.3,1.68,172,134,57,1.24,914.0,Yoga,28.5,2.7,3,2,41.56,1.469,Low Active
31,Female,77.4,1.71,190,137,52,1.26,863.0,Cardio,26.2,1.8,4,2,26.47,2.046,Very Active
28,Female,72.9,1.67,197,147,74,1.13,831.0,Cardio,34.7,2.2,3,2,26.14,1.285,Sedentary
26,Female,71.2,1.5,182,142,54,1.15,816.0,Cardio,34.6,2.6,2,1,31.64,1.648,Active
51,Male,88.2,1.62,163,133,72,1.56,1027.0,Cardio,11.8,3.5,4,3,33.61,1.646,Active
29,Female,75.6,1.8,175,149,57,1.31,976.0,Yoga,25.7,1.9,4,2,23.33,1.876,Active
52,Female,57.9,1.56,166,152,68,1.66,1135.0,HIIT,15.8,2.7,4,3,23.79,2.103,Very Active
52,Female,70.6,1.58,181,164,67,1.02,753.0,HIIT,34.9,2.0,3,2,28.28,1.556,Low Active
18,Male,118.6,1.64,188,134,67,0.94,693.0,Cardio,25.6,2.7,3,1,44.1,1.777,Active
57,Male,55.7,1.99,170,126,70,1.13,705.0,Strength,23.6,3.0,3,2,14.07,1.515,Low Active
39,Male,102.3,1.94,192,134,50,0.89,656.0,Yoga,22.9,2.4,3,1,27.18,1.502,Low Active
46,Male,72.6,1.87,188,161,64,1.31,1044.0,HIIT,22.6,3.4,4,2,20.76,2.192,Very Active
25,Female,63.8,1.68,198,165,67,0.95,784.0,Cardio,31.6,1.9,2,1,22.6,1.818,Active
28,Female,67.3,1.67,171,157,74,0.61,479.0,Strength,29.2,2.3,3,1,24.13,1.414,Low Active
58,Female,59.3,1.2,166,165,56,1.97,1463.0,Strength,19.8,2.7,4,3,23.75,1.092,Sedentary
54,Female,70.7,1.57,198,163,65,1.14,836.0,Cardio,31.8,2.1,3,1,28.68,2.233,Very Active
31,Male,86.9,1.69,185,130,65,1.72,1230.0,Yoga,14.0,3.5,4,3,30.43,2.018,Very Active
47,Male,98.2,1.9,199,148,64,0.76,557.0,HIIT,22.9,3.0,3,1,27.2,1.24,Sedentary
52,Male,63.6,1.62,168,150,55,1.3,965.0,Strength,20.8,2.3,4,2,24.23,1.064,Sedentary
38,Female,45.2,1.68,193,144,58,1.01,727.0,HIIT,29.9,2.4,3,2,16.01,1.759,Active
54,Male,117.2,1.62,172,143,56,1.04,736.0,HIIT,23.1,2.3,4,2,44.66,1.873,Active
22,Male,200.0,1.74,195,138,63,1.34,1017.0,Strength,22.0,2.2,2,1,35.47,1.241,Sedentary
36,Female,59.1,1.78,184,121,60,0.85,514.0,Cardio,34.5,2.2,2,1,18.65,1.754,Active
31,Female,53.3,1.64,183,141,70,0.57,402.0,Strength,29.4,2.4,3,1,19.82,1.789,Active
43,Male,46.2,1.63,176,139,65,1.18,812.0,Strength,21.7,2.1,2,1,17.39,1.997,Very Active
21,Male,67.0,1.61,161,152,74,1.32,1104.0,Yoga,22.0,2.1,3,2,25.85,2.333,Very Active
42,Male,86.3,1.77,172,127,55,1.77,1113.0,HIIT,11.4,3.5,4,3,27.55,1.432,Low Active
59,Male,85.5,1.67,190,144,71,1.99,1418.0,Cardio,15.0,3.5,5,3,30.66,1.789,Active
42,Male,70.2,1.87,188,165,65,1.38,1127.0,HIIT,22.7,3.4,3,2,20.07,2.167,Very Active
35,Male,127.1,1.62,187,128,69,1.02,718.0,Strength,23.3,3.4,4,2,60.0,1.883,Active
57,Female,75.6,1.67,186,153,65,1.05,723.0,Cardio,31.6,1.8,3,2,27.11,1.009,Sedentary
25,Female,62.6,1.65,174,142,61,1.2,852.0,Cardio,27.9,2.2,3,1,22.99,1.813,Active
56,Female,55.7,1.53,190,124,66,1.91,1066.0,Cardio,16.1,2.7,5,3,23.79,2.131,Very Active
57,Male,96.1,1.74,199,144,54,1.21,862.0,Cardio,21.6,2.8,3,2,31.74,1.728,Active
31,Female,76.7,1.62,174,127,74,1.39,883.0,Yoga,28.1,2.3,4,2,29.23,1.933,Very Active
49,Male,57.2,1.89,192,135,62,1.14,762.0,Cardio,21.1,3.5,2,1,16.01,2.363,Very Active
55,Male,69.9,1.81,179,167,57,1.2,992.0,Strength,20.2,2.1,4,2,21.34,1.705,Active
50,Female,67.9,1.77,171,164,73,1.03,760.0,Yoga,33.0,2.4,3,2,21.67,1.444,Low Active
40,Male,87.9,1.87,196,134,54,1.96,1445.0,Strength,10.7,3.5,5,3,25.14,2.477,Very Active
32,Male,102.8,1.98,168,120,61,1.24,818.0,Strength,27.8,2.8,3,2,26.22,1.849,Active
50,Female,51.8,1.5,182,141,58,1.32,838.0,HIIT,33.0,2.2,3,1,23.02,1.475,Low Active
42,Female,57.7,1.57,167,122,52,1.83,1005.0,Cardio,17.7,2.7,4,3,23.41,1.388,Sedentary
34,Female,66.5,1.69,191,157,52,0.81,636.0,Cardio,28.1,2.3,3,1,23.28,1.244,Sedentary
50,Male,95.4,1.61,173,133,50,1.16,764.0,Strength,21.5,3.6,4,2,36.8,1.458,Low Active
5,Female,69.2,1.6,186,155,74,1.17,907.0,Cardio,32.4,1.6,3,1,27.03,1.04,Sedentary
31,Female,66.6,1.67,184,137,71,1.02,699.0,Yoga,31.0,1.5,4,2,23.88,1.926,Very Active
57,Male,83.4,1.65,172,166,67,1.57,1290.0,HIIT,13.3,3.5,4,3,30.63,1.467,Low Active
57,Female,43.8,1.75,180,160,73,1.39,1001.0,Cardio,25.1,1.7,2,1,14.3,1.464,Low Active
56,Female,64.2,1.69,190,137,61,1.99,1227.0,Cardio,19.6,2.7,5,3,22.48,2.003,Very Active
23,Female,44.1,1.62,196,122,58,0.58,354.0,Yoga,25.7,2.7,2,1,16.8,1.918,Very Active
23,Male,87.3,1.91,164,129,58,1.87,1327.0,HIIT,11.8,3.5,5,3,23.93,2.118,Very Active
20,Male,55.0,1.6,172,168,67,1.12,1035.0,Yoga,24.0,3.2,0,2,21.48,2.107,Very Active
24,Male,87.1,1.74,187,158,67,1.57,1364.0,Strength,10.0,3.5,4,3,28.77,2.223,Very Active
25,Male,66.6,1.61,184,166,56,1.38,1260.0,Strength,25.0,3.0,2,1,25.69,1.76,Active
59,Female,60.4,1.76,194,120,53,1.72,929.0,Cardio,18.8,2.7,5,3,19.5,1.599,Low Active
32,Male,126.4,1.83,198,146,62,1.1,883.0,HIIT,28.2,2.1,3,2,37.74,2.358,Very Active
46,Male,88.7,1.63,166,146,66,0.75,542.0,Strength,28.8,3.5,2,1,33.38,1.693,Active
53,Female,125.6,1.87,180,158,68,0.65,981.3,Cardio,25.0,3.06,5,2,36.1,1.18,Sedentary
38,Female,124.5,1.5,180,152,61,1.42,313.4,Cardio,17.3,2.85,2,3,55.3,1.149,Sedentary
58,Male,128.5,1.73,196,126,70,1.18,322.6,Cardio,34.1,3.28,1,2,42.8,1.852,Active
16,Female,61.7,1.84,167,166,52,1.86,685.2,HIIT,28.9,2.44,2,2,18.2,1.759,Active
43,Male,115.8,1.72,169,155,63,1.59,785.3,Strength,14.9,1.6,5,1,38.9,1.976,Very Active
32,Male,114.6,1.68,188,134,62,0.61,1760.6,HIIT,19.9,2.15,3,3,40.7,1.437,Low Active
31,Female,105.6,1.89,164,161,56,1.48,1654.4,Cardio,25.6,2.23,5,3,29.7,1.586,Low Active
58,Female,64.7,1.78,194,156,64,1.57,1426.7,Strength,15.9,2.06,3,1,20.4,1.499,Low Active
29,Male,50.0,1.72,191,158,66,0.97,1054.2,Strength,13.5,2.83,3,1,16.9,2.194,Very Active
100,Male,46.9,1.64,181,147,51,1.44,739.7,Cardio,31.8,3.27,4,2,17.3,1.898,Active
25,Female,112.7,1.95,198,152,50,0.84,933.8,HIIT,18.8,2.17,3,1,29.7,1.026,Sedentary
51,Male,50.8,1.67,174,151,73,1.55,840.1,Cardio,16.3,2.04,2,3,18.2,1.126,Sedentary
51,Male,129.8,1.63,161,121,71,0.55,812.7,Cardio,16.0,1.82,4,2,48.7,1.592,Low Active
46,Female,61.8,1.84,170,136,55,1.05,1236.9,Strength,20.0,3.3,1,1,18.3,1.144,Sedentary
20,Female,43.7,1.8,195,138,52,1.71,818.0,Yoga,14.4,3.02,2,1,13.5,2.071,Very Active
25,Female,106.2,1.6,190,149,59,0.89,1277.8,Strength,34.6,2.64,1,2,41.2,1.232,Sedentary
15,Female,126.9,1.78,191,128,58,1.02,1375.2,Yoga,31.4,2.39,1,3,40.1,1.417,Low Active
22,Female,120.9,1.8,194,167,74,1.5,310.5,HIIT,17.6,2.57,3,1,37.2,1.888,Active
55,Female,104.1,1.62,180,167,69,1.05,1402.1,Yoga,26.4,2.75,4,3,39.7,1.636,Active
36,Male,62.5,1.79,197,164,68,1.84,1235.2,Strength,18.8,2.92,1,1,19.4,1.412,Low Active
33,Female,42.2,1.82,176,163,63,1.87,849.7,Cardio,33.8,2.23,0,3,5.0,2.224,Very Active
49,Female,116.8,1.65,180,151,72,0.9,1019.8,Strength,23.9,3.56,2,3,43.0,1.415,Low Active
54,Female,48.7,1.81,181,142,51,0.88,739.1,Strength,28.5,3.03,3,2,14.9,1.704,Active
53,Male,66.7,1.71,184,143,62,0.62,310.7,HIIT,30.0,2.93,4,3,22.8,1.534,Low Active
37,Male,73.8,1.55,182,141,68,1.2,1104.5,Cardio,31.0,3.39,1,2,30.8,1.575,Low Active
20,Male,72.4,1.56,192,127,70,0.91,1728.7,Yoga,12.1,1.61,4,2,29.6,1.481,Low Active
70,Male,52.5,1.57,189,138,66,1.1,943.3,Strength,12.0,1.56,5,2,21.4,1.657,Active
37,Male,102.6,1.7,160,166,51,0.86,441.7,Cardio,26.5,2.12,5,3,35.3,1.758,Active
19,Female,105.7,1.52,185,135,68,1.64,324.3,Strength,12.3,1.71,4,1,45.5,1.445,Low Active
26,Female,48.8,1.75,198,155,50,1.2,1262.7,Strength,25.4,2.9,2,3,16.0,1.173,Sedentary
24,Female,124.0,1.75,164,164,53,1.42,1697.1,Strength,10.7,2.79,3,2,40.5,1.843,Active
70,Female,51.6,1.91,196,131,52,1.73,1265.2,Yoga,14.9,1.65,2,1,14.2,1.52,Low Active
49,Male,46.4,1.66,185,129,51,0.89,1035.6,Strength,27.4,2.88,5,1,16.9,2.301,Very Active
35,Male,65.4,1.59,168,143,52,1.99,912.4,Strength,16.3,2.78,5,1,25.9,1.68,Active
27,Male,107.9,1.55,176,168,69,1.74,775.7,Yoga,12.5,1.62,5,1,44.8,1.395,Sedentary
33,Female,71.9,1.98,190,138,64,0.62,438.4,HIIT,18.2,2.98,4,1,18.4,1.603,Active
37,Female,111.1,1.55,198,133,54,1.61,1109.3,Yoga,12.9,1.81,2,2,46.5,2.144,Very Active
58,Male,49.1,1.54,172,159,59,1.09,1620.3,Strength,12.0,1.69,3,1,20.6,1.641,Active
15,Female,113.2,1.97,184,164,53,1.03,1349.0,Yoga,29.4,2.73,3,2,29.0,1.287,Sedentary
40,Male,50.0,1.75,172,169,69,0.68,476.6,Cardio,28.6,3.0,4,2,16.4,2.136,Very Active
39,Female,87.6,1.72,191,164,64,1.84,1082.4,Yoga,33.0,2.06,3,1,29.7,1.762,Active
32,Male,96.6,1.85,190,120,70,1.55,870.5,Yoga,11.1,2.12,4,1,28.3,2.28,Very Active
22,Female,56.9,1.73,187,147,54,1.96,1759.6,Strength,10.8,2.12,5,1,19.0,2.209,Very Active
42,Female,54.6,1.96,165,137,68,1.59,1209.0,Strength,12.1,3.43,3,1,14.3,1.217,Sedentary
19,Male,77.0,1.89,177,151,64,0.73,1180.5,Yoga,19.8,3.32,1,1,21.6,1.881,Active
47,Female,43.3,1.57,180,167,72,1.8,1503.7,Yoga,28.7,3.51,5,1,17.6,1.868,Active
51,Female,116.5,1.62,173,128,63,0.88,708.8,HIIT,15.7,2.98,2,3,44.2,1.859,Active
22,Male,100.4,1.76,162,169,61,1.72,1732.7,Strength,31.9,2.39,5,1,32.4,1.682,Active
28,Female,112.5,1.95,193,157,67,1.38,882.3,Yoga,12.3,3.1,1,2,29.5,2.264,Very Active
5,Female,121.9,1.65,176,124,53,1.19,1546.8,Cardio,16.5,2.51,2,2,44.8,1.492,Low Active
16,Male,58.8,1.79,170,166,74,1.19,1166.7,Yoga,13.5,2.91,4,1,18.4,1.831,Active
17,Female,82.7,1.83,178,140,54,1.02,816.4,Strength,12.2,1.77,1,2,24.6,1.516,Low Active
48,Male,85.3,2.5,168,145,74,1.22,1318.9,HIIT,31.8,3.53,5,1,25.1,1.071,Sedentary
40,Female,112.6,1.87,174,166,73,1.23,1216.2,Yoga,23.3,3.09,2,2,32.0,1.899,Active
21,Male,120.6,1.76,177,157,52,1.1,457.9,Yoga,19.4,1.54,1,1,39.1,1.986,Very Active
53,Female,69.5,1.56,176,132,69,1.21,827.5,Cardio,22.5,1.69,2,3,28.6,1.42,Low Active
